Hjemmebane,Udebane,Køretid,Afstand
Padel Club Sønderborg,Glamsbjerg Padel,1.8864166666666664,160.5586
Glamsbjerg Padel,Padel Club Sønderborg,1.8864166666666664,160.5586
Padel Club Sønderborg,Padel8500,2.9473333333333334,258.90270000000004
Padel8500,Padel Club Sønderborg,2.9473333333333334,258.90270000000004
Padel Club Sønderborg,Hedehusene Tennis og Padel Klub,3.387083333333333,311.4725
Hedehusene Tennis og Padel Klub,Padel Club Sønderborg,3.387083333333333,311.4725
Padel Club Sønderborg,Himmelev Padel Klub,3.353111111111111,296.7168
Himmelev Padel Klub,Padel Club Sønderborg,3.353111111111111,296.7168
Padel Club Sønderborg,Holbæk Padel Klub,3.1625277777777776,277.2516
Holbæk Padel Klub,Padel Club Sønderborg,3.1625277777777776,277.2516
Padel Club Sønderborg,Holstebro Tennis & Padel Klub,2.503805555555556,237.5673
Holstebro Tennis & Padel Klub,Padel Club Sønderborg,2.503805555555556,237.5673
Padel Club Sønderborg,Racket Club Roskilde - Yellowbeard Arena,3.275638888888889,291.69870000000003
Racket Club Roskilde - Yellowbeard Arena,Padel Club Sønderborg,3.275638888888889,291.69870000000003
Padel Club Sønderborg,Padelcity - Svendborg,2.1894444444444447,205.2452
Padelcity - Svendborg,Padel Club Sønderborg,2.1894444444444447,205.2452
Padel Club Sønderborg,Hovedstadens Padel Klub,3.3329722222222227,313.617
Hovedstadens Padel Klub,Padel Club Sønderborg,3.3329722222222227,313.617
Padel Club Sønderborg,Simons Padel Club,3.8289444444444447,353.7383
Simons Padel Club,Padel Club Sønderborg,3.8289444444444447,353.7383
Padel Club Sønderborg,Hillerød Tennis & Padel Klub,3.852611111111111,352.3601
Hillerød Tennis & Padel Klub,Padel Club Sønderborg,3.852611111111111,352.3601
Padel Club Sønderborg,Match Padel Hobro,2.637583333333333,250.0602
Match Padel Hobro,Padel Club Sønderborg,2.637583333333333,250.0602
Padel Club Sønderborg,Jystrup IF Tennis og Padel,2.9785833333333334,273.8172
Jystrup IF Tennis og Padel,Padel Club Sønderborg,2.9785833333333334,273.8172
Padel Club Sønderborg,KIF Padel Club,1.0038888888888888,91.0311
KIF Padel Club,Padel Club Sønderborg,1.0038888888888888,91.0311
Padel Club Sønderborg,Køge Padel Klub,3.1254166666666667,289.103
Køge Padel Klub,Padel Club Sønderborg,3.1254166666666667,289.103
Padel Club Sønderborg,Padel Club Køge,3.036666666666666,287.6397
Padel Club Køge,Padel Club Sønderborg,3.036666666666666,287.6397
Padel Club Sønderborg,PADELHALL.DK,2.753,242.9617
PADELHALL.DK,Padel Club Sønderborg,2.753,242.9617
Padel Club Sønderborg,Racket Club Tårnby,3.5104166666666665,326.9012
Racket Club Tårnby,Padel Club Sønderborg,3.5104166666666665,326.9012
Padel Club Sønderborg,Padelcenter Middelfart,1.3291111111111111,122.1741
Padelcenter Middelfart,Padel Club Sønderborg,1.3291111111111111,122.1741
Padel Club Sønderborg,Padel Arena - Hedensted,1.457861111111111,136.6379
Padel Arena - Hedensted,Padel Club Sønderborg,1.457861111111111,136.6379
Padel Club Sønderborg,Lynge-Broby Idrætsforening,2.768,250.7597
Lynge-Broby Idrætsforening,Padel Club Sønderborg,2.768,250.7597
Padel Club Sønderborg,LezGo Padel,2.065777777777778,187.2492
LezGo Padel,Padel Club Sønderborg,2.065777777777778,187.2492
Padel Club Sønderborg,LETS PADEL,3.8475,352.2835
LETS PADEL,Padel Club Sønderborg,3.8475,352.2835
Padel Club Sønderborg,Match Padel Lemvig,3.002,268.9701
Match Padel Lemvig,Padel Club Sønderborg,3.002,268.9701
Padel Club Sønderborg,Match padel Næstved,3.037333333333333,264.4166
Match padel Næstved,Padel Club Sønderborg,3.037333333333333,264.4166
Padel Club Sønderborg,MiMo Padel - Rødby,4.239,360.9382
MiMo Padel - Rødby,Padel Club Sønderborg,4.239,360.9382
Padel Club Sønderborg,Mørkøv Padel Klub,3.073083333333334,270.5805
Mørkøv Padel Klub,Padel Club Sønderborg,3.073083333333334,270.5805
Padel Club Sønderborg,Match Padel Kløvermarken,3.618666666666667,329.1498
Match Padel Kløvermarken,Padel Club Sønderborg,3.618666666666667,329.1498
Padel Club Sønderborg,Match Padel Studio,3.588972222222222,329.54720000000003
Match Padel Studio,Padel Club Sønderborg,3.588972222222222,329.54720000000003
Padel Club Sønderborg,Nyborg Padelklub,2.06125,194.9302
Nyborg Padelklub,Padel Club Sønderborg,2.06125,194.9302
Padel Club Sønderborg,Match Padel Nykøbing Falster,3.879611111111111,325.33590000000004
Match Padel Nykøbing Falster,Padel Club Sønderborg,3.879611111111111,325.33590000000004
Padel Club Sønderborg,ØBG Tennis og Padel,2.2444722222222224,192.7079
ØBG Tennis og Padel,Padel Club Sønderborg,2.2444722222222224,192.7079
Padel Club Sønderborg,Odder Padel Center,2.107666666666667,180.2744
Odder Padel Center,Padel Club Sønderborg,2.107666666666667,180.2744
Padel Club Sønderborg,Ølstykke Padel,3.620361111111111,311.9117
Ølstykke Padel,Padel Club Sønderborg,3.620361111111111,311.9117
Padel Club Sønderborg,Match Padel Odense,1.9263333333333328,174.32160000000002
Match Padel Odense,Padel Club Sønderborg,1.9263333333333328,174.32160000000002
Padel Club Sønderborg,Padel Club - Ringsted,2.8649722222222223,265.8705
Padel Club - Ringsted,Padel Club Sønderborg,2.8649722222222223,265.8705
Padel Club Sønderborg,Padel Club Roskilde,3.1869444444444444,298.2992
Padel Club Roskilde,Padel Club Sønderborg,3.1869444444444444,298.2992
Padel Club Sønderborg,Padel East,3.7018333333333335,312.7287
Padel East,Padel Club Sønderborg,3.7018333333333335,312.7287
Padel Club Sønderborg,Thy Padel,3.742333333333333,308.71070000000003
Thy Padel,Padel Club Sønderborg,3.742333333333333,308.71070000000003
Padel Club Sønderborg,Padel Holstebro,2.505055555555556,235.763
Padel Holstebro,Padel Club Sønderborg,2.505055555555556,235.763
Padel Club Sønderborg,Padelland,2.2545,211.7754
Padelland,Padel Club Sønderborg,2.2545,211.7754
Padel Club Sønderborg,Padel North,3.745666666666666,348.2323
Padel North,Padel Club Sønderborg,3.745666666666666,348.2323
Padel Club Sønderborg,PadelBoxen,1.865777777777778,164.9686
PadelBoxen,Padel Club Sønderborg,1.865777777777778,164.9686
Padel Club Sønderborg,PadelAction Aabenraa,0.5625833333333333,47.5174
PadelAction Aabenraa,Padel Club Sønderborg,0.5625833333333333,47.5174
Padel Club Sønderborg,Svendborg Padel Klub,2.27375,208.6893
Svendborg Padel Klub,Padel Club Sønderborg,2.27375,208.6893
Padel Club Sønderborg,Pakhus77,2.10325,194.5051
Pakhus77,Padel Club Sønderborg,2.10325,194.5051
Padel Club Sønderborg,Padel Skjern,2.390555555555556,204.136
Padel Skjern,Padel Club Sønderborg,2.390555555555556,204.136
Padel Club Sønderborg,8400 Padel,2.720972222222222,244.7114
8400 Padel,Padel Club Sønderborg,2.720972222222222,244.7114
Padel Club Sønderborg,PADELPIT - Karlslunde,3.1806388888888883,298.4714
PADELPIT - Karlslunde,Padel Club Sønderborg,3.1806388888888883,298.4714
Padel Club Sønderborg,PADELPIT - Roskilde,3.306,294.5236
PADELPIT - Roskilde,Padel Club Sønderborg,3.306,294.5236
Padel Club Sønderborg,Padelton Hørning,1.9001666666666668,178.7106
Padelton Hørning,Padel Club Sønderborg,1.9001666666666668,178.7106
Padel Club Sønderborg,Rocket Padel Randers,2.3343055555555554,221.6962
Rocket Padel Randers,Padel Club Sønderborg,2.3343055555555554,221.6962
Padel Club Sønderborg,Nordfyns Padel Center,1.794638888888889,160.8254
Nordfyns Padel Center,Padel Club Sønderborg,1.794638888888889,160.8254
Padel Club Sønderborg,Match Padel Aarhus,2.1674444444444445,205.1553
Match Padel Aarhus,Padel Club Sønderborg,2.1674444444444445,205.1553
Padel Club Sønderborg,Videbæk Tennis og Padel Klub,2.3839166666666665,209.4054
Videbæk Tennis og Padel Klub,Padel Club Sønderborg,2.3839166666666665,209.4054
Padel Club Sønderborg,Xpadel,3.917388888888889,362.2855
Xpadel,Padel Club Sønderborg,3.917388888888889,362.2855
Padel Club Sønderborg,Vejen Idrætscenter,1.2844444444444445,119.5068
Vejen Idrætscenter,Padel Club Sønderborg,1.2844444444444445,119.5068
Padel Club Sønderborg,Racket Club Slagelse,2.5869166666666668,235.7166
Racket Club Slagelse,Padel Club Sønderborg,2.5869166666666668,235.7166
Padel Club Sønderborg,Randers Tennis & Padel,2.381222222222222,227.7793
Randers Tennis & Padel,Padel Club Sønderborg,2.381222222222222,227.7793
Padel Club Sønderborg,Padel Club Hjørring,3.6625277777777776,355.9218
Padel Club Hjørring,Padel Club Sønderborg,3.6625277777777776,355.9218
Padel Club Sønderborg,Padel Star,2.029305555555556,189.5255
Padel Star,Padel Club Sønderborg,2.029305555555556,189.5255
Padel Club Sønderborg,Skibby padel,3.4556388888888887,296.0191
Skibby padel,Padel Club Sønderborg,3.4556388888888887,296.0191
Padel Club Sønderborg,Silkeborg Tennis- og Padelklub (STK),2.230055555555556,202.5122
Silkeborg Tennis- og Padelklub (STK),Padel Club Sønderborg,2.230055555555556,202.5122
Padel Club Sønderborg,Skagen Padelcenter,4.454750000000001,410.9861
Skagen Padelcenter,Padel Club Sønderborg,4.454750000000001,410.9861
Padel Club Sønderborg,PADEL 99,3.8810555555555553,370.4091
PADEL 99,Padel Club Sønderborg,3.8810555555555553,370.4091
Padel Club Sønderborg,Otterup Padel v. Skeby GF,2.0018055555555554,172.3003
Otterup Padel v. Skeby GF,Padel Club Sønderborg,2.0018055555555554,172.3003
Padel Club Sønderborg,SMASH Padelcenter Horsens,1.5984722222222223,149.968
